id,label,category,year,author,desc,githubUrl,paperUrl,license,maintenance,lastReviewed,lastUpdated,supportsCharges,supportsSpins,elementsCovered
nequip,NequIP,Equivariant,2021,Harvard (Kozinsky lab),"E(3)-equivariant message-passing potential that set the template for data-efficient, high-accuracy force fields across molecules and materials.",https://github.com/mir-group/nequip,https://arxiv.org/abs/2101.03164,MIT,maintained,2026-04-19,,false,false,dataset-dependent (general molecules and materials)
allegro,Allegro,Equivariant,2023,Harvard (Kozinsky lab),Strictly local equivariant architecture designed for massive parallel MD (100M+ atoms) while retaining NequIP-level accuracy.,https://github.com/mir-group/allegro,https://www.nature.com/articles/s41467-023-36329-y,,,,,,,—
eqv2,Equiformer V2,Transformer,2024,Meta FAIR / MIT,Improved equivariant transformer with higher-degree tensor representations; achieves state-of-the-art OC20/OC22 performance with strong data-efficiency.,https://github.com/atomicarchitects/equiformer_v2,https://arxiv.org/abs/2306.12059,,,,,,,—
mace,MACE,Equivariant,2022,Cambridge / Csányi group,Higher-order equivariant message passing (4-body messages) that reaches or surpasses SOTA accuracy with only 1–2 layers and powers universal MACE-MP models.,https://github.com/ACEsuit/mace,https://arxiv.org/abs/2206.07697,MIT,active,2026-04-19,,false,false,all elements covered by MPTrj / Alexandria (~89 elements)
grace,GRACE,Equivariant,2024,ICAMS,Graph Atomic Cluster Expansion: a foundation-scale implementation of ACE with explicit multi-body basis functions for wide-coverage materials modelling.,https://github.com/ICAMS/grace-tensorpotential,,,,,,,,—
orb,Orb-v3,Transformer,2025,Orbital Materials,"Wide & shallow graph neural simulator with smoothed attention, heavily optimized for torch.compile and extreme throughput on large periodic systems.",https://github.com/orbital-materials/orb-models,,Apache-2.0,active,2026-04-19,,false,false,all elements covered by MPTrj / Alexandria (~89 elements)
orbmol,OrbMol,Transformer,2025,Orbital Materials,"Orb-v3 variant for molecules, electrolytes, metal complexes, and biomolecules, trained on the ~100M-structure OMol25 dataset with explicit total-charge and spin-multiplicity conditioning.",https://huggingface.co/Orbital-Materials/OrbMol,https://www.orbitalindustries.com/posts/orbmol-extending-orb-to-molecular-systems,,,,,true,true,elements present in OMol25 (organic + electrolyte + metal-complex chemistry)
tfn,Tensor Field Networks,Equivariant,2018,Thomas et al.,"First E(3)-equivariant convolutional architecture for point clouds, introducing spherical-harmonic tensor products that underlie nearly all modern equivariant MLIPs (NequIP, MACE, Equiformer).",https://github.com/tensorfieldnetworks/tensorfieldnetworks,https://arxiv.org/abs/1802.08219,,,,,,,—
se3t,SE(3)-Transformer,Transformer,2020,Fuchs et al.,Self-attention generalized to SE(3)-equivariant inputs via tensor field attention; an early blueprint for equivariant transformer architectures like Equiformer.,https://github.com/FabianFuchsML/se3-transformer-public,https://arxiv.org/abs/2006.10503,,,,,,,—
jmp,JMP,Transformer,2024,Shoghi et al. (CMU / Meta),"Joint Multi-task Pretraining: trains one backbone simultaneously on OC20, OC22, ANI-1x and Transition-1x, demonstrating that multi-dataset pretraining yields strong transferable potentials — a precursor to UMA-style universal models.",https://github.com/facebookresearch/JMP,https://arxiv.org/abs/2310.16802,,,,,,,—
esen,eSEN,Equivariant,2025,Meta FAIR,Equivariant Smooth Energy Network: conservative-force equivariant GNN with a smooth potential energy surface designed for stable long-horizon MD. Serves as the backbone underneath Meta's UMA foundation model.,https://github.com/facebookresearch/fairchem,https://arxiv.org/abs/2502.12147,,,,,,,—
uma,UMA,Transformer,2025,Meta FAIR,"Universal Model for Atoms: a Mixture of Linear Experts (MoLE) foundation model built on the eSEN backbone, trained on ~500M structures spanning OC20, ODAC23, OMat24, OMC25, and OMol25. NeurIPS 2025 spotlight.",https://huggingface.co/facebook/UMA,https://arxiv.org/abs/2506.23971,,,,,,,—
nequix,Nequix,Equivariant,2025,Koker & Smidt (MIT Atomic Architects),"Compact E(3)-equivariant foundation potential that pairs a simplified NequIP design with equivariant RMS layer normalization and the Muon optimizer, reaching near-SOTA accuracy on a <125 GPU-hour training budget.",https://github.com/atomicarchitects/nequix,https://arxiv.org/abs/2508.16067,,,,,,,—
petmad,PET-MAD,Transformer,2025,EPFL (Ceriotti lab),"Lightweight universal transformer-GNN potential (Point-Edge Transformer) trained on the Massive Atomistic Diversity (MAD) dataset of ~96k structures across 85 elements; competitive with larger uMLIPs for solids, surfaces, and molecules.",https://github.com/lab-cosmo/pet-mad,https://arxiv.org/abs/2503.14118,,,,,false,false,85 elements
eqv3,Equiformer V3,Transformer,2026,Liao et al. (MIT Atomic Architects),"Third-generation SE(3)-equivariant graph attention transformer with improved efficiency, expressivity, and generality; achieves the strongest results within the Equiformer family on OC20 S2EF-2M, MPtrj, OMat24, sAlex, and Matbench-Discovery.",https://github.com/atomicarchitects/equiformer_v3,https://arxiv.org/abs/2604.09130,,,,,,,all elements covered by MPtrj / OMat24 (~89 elements)
mace_polar1,MACE-POLAR-1,Equivariant,2026,"ACEsuit (Kovacs, Batatia, Csanyi et al.)","Polarisable electrostatic foundation model that augments MACE with a non-self-consistent polarisable field formalism, learning atomic charge and spin densities (Gaussian-type multipoles) directly from energies/forces; global charge/spin constraints are enforced via learnable Fukui equilibration functions. Trained on OMol25 (~100M structures at ωB97M-V), released in M (12 A) and L (18 A) receptive-field variants for molecular chemistry and non-covalent interactions.",https://github.com/ACEsuit/mace-foundations,https://arxiv.org/abs/2602.19411,,,,,true,true,elements present in OMol25 (molecular chemistry / non-covalent interactions)
bpnn,BPNN,Descriptor,2007,Behler & Parrinello,The Behler–Parrinello high-dimensional neural network potential — the 2007 paper that introduced symmetry functions and the atomic-decomposition framework underlying essentially every modern MLIP.,https://github.com/CompPhysVienna/n2p2,https://doi.org/10.1103/PhysRevLett.98.146401,,,,,,,—
ace,ACE,Descriptor,2019,Drautz (ICAMS),"Atomic Cluster Expansion: a complete, systematically improvable many-body basis for the local atomic environment; the mathematical backbone of PACE/GRACE and a strong influence on MACE.",https://github.com/ICAMS/lammps-user-pace,https://arxiv.org/abs/1810.06640,,,,,,,—
gap,GAP / SNAP,Descriptor,2010,Cambridge / Sandia,"Gaussian Approximation Potentials and SNAP: kernel and descriptor-based MLIPs with rigorous many-body expansions, accurate but relatively expensive.",https://github.com/libAtoms/QUIP,,,,,,,,—
deepmd,DeepMD,Descriptor,2018,DeepModeling,"Deep Potential Molecular Dynamics: local frame descriptors + deep networks giving ab-initio-level accuracy with linear scaling, widely used for large MD.",https://github.com/deepmodeling/deepmd-kit,https://doi.org/10.1016/j.cpc.2018.02.017,,,,,,,—
dpa2,DPA-2,Descriptor,2024,DeepModeling,"Second-generation Deep Potential architecture with attention and multi-task heads, targeting a universal deep potential for diverse chemistries.",https://github.com/deepmodeling/deepmd-kit,,,,,,,,—
dpa3,DPA-3,Descriptor,2025,DeepModeling,"Message-passing graph neural network built on a Line Graph Series (LiGS) that updates bond, angle, and dihedral representations while preserving energy conservation and physical symmetries; designed for Large Atomistic Models with clean scaling in model size, data, and compute. The DPA-3.1-3M variant trained on OpenLAM-v1 tops zero-shot generalization across 12 downstream tasks.",https://github.com/deepmodeling/deepmd-kit,https://arxiv.org/abs/2506.01686,,,,,,,—
mattersim,MatterSim,Transformer,2024,Microsoft,"Large-scale foundation model trained on millions of ab-initio trajectories, designed as a reusable simulator for materials discovery workflows.",https://github.com/microsoft/mattersim,,,,,,,,—
nep89,NEP89,Descriptor,2025,Chalmers (Fan group) / Liang et al.,"Universal neuroevolution-potential foundation model spanning 89 elements across inorganic and organic materials, trained via separable natural evolution strategies and distributed in GPUMD for empirical-potential-like speed.",https://github.com/brucefan1983/GPUMD,https://arxiv.org/abs/2504.21286,,,,,false,false,89 elements
liten,LiTEN-FF,Equivariant,2026,Zhejiang Univ. (Hou lab) / Su et al.,Equivariant network with Linearly Tensorized Quadrangle Attention (TQA) that captures 3- and 4-body interactions in linear time; pre-trained on nablaDFT and fine-tuned on SPICE as a quantum-accurate biomolecular force-field foundation model.,https://github.com/lingcon01/LiTEN,https://arxiv.org/abs/2507.00884,,,,,,,—
matris,MatRIS,Invariant,2026,Zhou et al. (CAS / UCAS),Invariant foundation MLIP using a separable O(N) attention mechanism for three-body interactions; 10M-parameter models trained on OMat24 / MPTrj / sAlex match equivariant SOTA on Matbench-Discovery (F1 0.847) at >13x lower training cost than eSEN-30M-MP.,https://github.com/HPC-AI-Team/MatRIS,https://arxiv.org/abs/2603.02002,,,,,,,all elements covered by OMat24 / MPTrj (~89 elements)
ani,ANI-2x,Descriptor,2019,Isayev / Roitberg,"Accurate NeurAl networK engINe potential for organic molecules (C,H,N,O,S,F,Cl); widely used in drug discovery for fast geometry and energy scans.",https://github.com/aiqm/torchani,https://arxiv.org/abs/1909.08565,,,,,false,false,"H, C, N, O, S, F, Cl"
aimnet2,AIMNet2,Descriptor,2025,"Anstine, Zubatyuk & Isayev (CMU)","Second-generation Atoms-in-Molecules Network potential covering 14 elements (H, B, C, N, O, F, Si, P, S, Cl, As, Se, Br, I) in neutral and charged states; combines ML-parameterised short-range terms with physics-based long-range electrostatics, trained on ~20M hybrid-DFT (wB97M-D3) calculations for routine use as a DFT replacement in organic and elemental-organic chemistry.",https://github.com/isayevlab/aimnetcentral,https://doi.org/10.1039/D4SC08572H,,,,,true,false,"H, B, C, N, O, F, Si, P, S, Cl, As, Se, Br, I"
schnet,SchNet,Invariant,2017,Schütt et al.,"Continuous-filter convolutional network that introduced smooth, translation-invariant filters for molecules and crystals; the baseline for many later GNN MLIPs.",https://github.com/atomistic-machine-learning/schnetpack,https://arxiv.org/abs/1706.08566,,,,,,,—
dimenet,DimeNet++,Invariant,2020,Gasteiger et al.,"Directional message passing network with spherical basis functions that explicitly encode bond angles, improving data efficiency over SchNet-style models.",https://github.com/gasteigerjo/dimenet,https://arxiv.org/abs/2011.14115,,,,,,,—
gemnet,GemNet-OC,Equivariant,2021,TUM / OC20,High-capacity spherical message-passing architecture used in the OC20/OC22 benchmarks; very strong for catalyst adsorption and surface chemistry.,https://github.com/OpenCatalystProject/ocp,,,,,,,,—
painn,PaiNN,Equivariant,2021,Schütt et al.,Polarizable Atom Interaction Neural Network: uses coupled scalar/vector features to capture forces and dipoles with E(3) equivariance at lower cost than full tensors.,https://github.com/atomistic-machine-learning/schnetpack,https://arxiv.org/abs/2102.03150,,,,,,,—
sevennet,SevenNet,Invariant,2024,Seoul Nat. Univ.,"Speed-optimized invariant network inspired by NequIP-style features, designed for very large simulations where throughput is more critical than strict equivariance.",https://github.com/MDIL-SNU/SevenNet,,,,,,,,—
alignn,ALIGNN,Invariant,2021,NIST,Atomistic Line Graph Neural Network: augments the atomic graph with a line graph so bond angles and higher-order interactions are encoded explicitly.,https://github.com/usnistgov/alignn,https://arxiv.org/abs/2102.05013,,,,,,,—
m3gnet,M3GNet,Invariant,2022,Materials Virtual Lab,Materials Graph Network with 3-body interactions; trained on Materials Project relaxations to give a universal potential over most of the periodic table.,https://github.com/materialsvirtuallab/m3gnet,https://arxiv.org/abs/2202.02450,,,,,,,—
chgnet,CHGNet,Invariant,2023,Berkeley (Ceder group),Charge-aware graph neural network that extends M3GNet with oxidation state and local charge features; particularly strong for battery and redox-active materials.,https://github.com/CederGroupHub/chgnet,https://arxiv.org/abs/2210.13995,BSD-3-Clause,maintained,2026-04-19,,true,true,all elements covered by MPTrj (~89 elements)
sevennet_nano,SevenNet-Nano,Invariant,2026,Seoul Nat. Univ. (MDIL-SNU),"Lightweight universal MLIP distilled from the SevenNet-Omni teacher, delivering over an order-of-magnitude speedup while retaining broad transferability for scalable atomistic simulations on thousands of atoms.",https://github.com/MDIL-SNU/SevenNet,https://arxiv.org/abs/2604.10887,,,,,,,—
sevennet_omni,SevenNet-Omni,Invariant,2026,Seoul Nat. Univ. (MDIL-SNU),"Multi-fidelity universal foundation MLIP built on the SevenNet-MF backbone and trained on 15 open datasets (~250M structures across molecules, crystals, and surfaces); serves as the teacher model for SevenNet-Nano.",https://github.com/MDIL-SNU/SevenNet,https://www.nature.com/articles/s41467-026-70195-8,,,,,,,—
pfp_v8,PFP v8,Transformer,2026,Preferred Networks / Matlantis,"Eighth release of the Preferred Potential: the first universal MLIP trained on a large r2SCAN meta-GGA dataset (70 elements) atop a 96-element PBE backbone, halving melting-point error vs. PBE-trained models. Distributed commercially via the Matlantis SaaS platform.",,https://arxiv.org/abs/2603.11063,,,,,,,all elements up to Z=96 (PBE backbone) / 70 elements (r2SCAN)
orion,ORION,Descriptor,2026,Chen et al. (NEP framework),"Universal organic force field for C, H, O, N, S, P built within the Neuroevolution Potential (NEP) framework. Trained on a chemically rich dataset assembled through a unified top-down/bottom-up sampling strategy, providing a balanced description of bond breaking/formation, aromatic growth, hydrogen bonding, van der Waals interactions, and π-stacking; reaches near-DFT force accuracy while running ~200x faster than ReaxFF on identical hardware, enabling hundreds-of-nanoseconds reactive MD.",https://github.com/brucefan1983/GPUMD,https://arxiv.org/abs/2604.05769,,,,,false,false,"C, H, O, N, S, P"
